Date,AAPL,MSFT,SPY,QQQ,GLD,TLT
2019-01-02,37.436909,94.016129,223.805939,147.878342,121.330002,97.560516
2019-01-03,33.707928,90.557465,218.465363,143.047089,122.43,98.670647
2019-01-04,35.146896,94.769264,225.782974,149.167313,121.440002,97.528496
2019-01-07,35.068665,94.890106,227.563171,150.943237,121.860001,97.240974
2019-01-08,35.737175,95.578133,229.701263,152.308624,121.529999,96.985382
2019-01-09,36.344059,96.944847,230.774734,153.54982,122.309998,96.833611
2019-01-10,36.460213,96.32193,231.588821,153.988998,121.589996,96.210625
2019-01-11,36.102261,95.578133,231.678253,153.42572,121.800003,96.58606
2019-01-14,35.55938,94.880821,230.264816,152.069916,122.089996,96.226639
2019-01-15,36.28717,97.632866,232.903778,155.039276,121.879997,95.875183
2019-01-16,36.730476,97.976883,233.467422,155.010666,122.269997,95.971016
2019-01-17,36.948566,98.664894,235.238678,156.232758,122.110001,95.995018
2019-01-18,37.176144,100.143181,238.369751,157.779572,121.019997,95.491814
2019-01-22,36.341702,98.255814,235.149185,154.619171,121.449997,96.138763
2019-01-23,36.488667,99.213455,235.64122,154.819656,121.279999,96.098846
2019-01-24,36.199451,98.739265,235.766525,155.82222,121.089996,96.729813
2019-01-25,37.398975,99.641113,237.761383,157.684021,122.860001,96.266556
2019-01-28,37.052868,97.697968,235.954315,155.736298,123.290001,96.170692
2019-01-29,36.668835,95.708298,235.64122,154.2659,123.980003,96.657928
2019-01-30,39.174583,98.906624,239.371628,158.190094,124.690002,96.58606
2019-01-31,39.456699,97.093597,241.473907,160.557983,124.75,97.41671
2019-02-01,39.475658,95.559532,241.59021,159.880112,124.5,96.828339
2019-02-04,40.596962,98.311592,243.289963,161.866058,123.959999,96.396072
2019-02-05,41.291553,99.687622,244.309708,163.298264,124.279999,96.836334
2019-02-06,41.305782,98.581192,243.987747,162.811295,123.440002,96.884361
2019-02-07,40.523472,97.874603,241.661774,160.624786,123.739998,97.524734
2019-02-08,40.571087,98.246513,241.957001,160.93988,124.209999,97.94104
2019-02-11,40.337765,97.856003,242.091171,160.78714,123.599998,97.55677
2019-02-12,40.68536,99.380806,245.204269,163.164597,123.860001,97.308609
2019-02-13,40.516335,99.306404,246.000458,163.279129,123.370003,96.940407
2019-02-14,40.66394,99.390121,245.454788,163.479675,124.059998,97.492722
2019-02-15,40.573463,100.617363,248.129593,164.167114,124.800003,97.644814
2019-02-19,40.694893,100.570877,248.559006,164.491714,126.699997,97.89299
2019-02-20,40.956776,100.048012,249.060013,164.463089,126.480003,97.612816
2019-02-21,40.725842,102.158211,248.174286,163.861542,125.050003,96.740273
2019-02-22,41.180569,103.614792,249.713013,165.074142,125.5,97.316628
2019-02-25,41.480545,104.193695,250.052948,165.67572,125.370003,97.02845
2019-02-26,41.504349,104.912666,249.8741,165.847549,125.580002,97.50872
